time,I
0.075069,0.00
0.176782,0.00
0.277187,0.00
0.378840,0.00
0.479487,0.00
0.580131,0.00
0.681805,0.00
0.782692,0.00
0.883566,0.00
0.985047,0.00
1.087226,0.00
1.188759,0.00
1.290062,0.00
1.391108,0.00
1.492454,0.00
1.594191,0.00
1.696350,0.00
1.799349,0.00
1.902221,0.00
2.003657,0.00
2.105090,0.00
2.207851,0.00
2.309045,0.00
2.409899,0.00
2.509928,0.00
2.610276,0.00
2.712220,0.00
2.814860,0.00
2.916465,0.00
3.018002,0.00
3.120091,0.00
3.222765,0.00
3.324535,0.00
3.425959,0.00
3.526880,0.00
3.627959,0.00
3.729607,0.00
3.831767,0.00
3.932902,0.00
4.034253,0.00
4.137184,0.00
4.238683,0.00
4.341055,0.00
4.442835,0.00
4.543558,0.00
4.644429,0.00
4.746405,0.00
4.849243,0.00
4.950443,0.00
5.052105,0.00
5.153619,0.00
5.254167,0.00
5.356240,0.00
5.458791,0.00
5.560289,0.00
5.663207,0.00
5.764961,0.00
5.867344,0.00
5.969283,0.00
6.070735,0.00
6.172394,0.00
6.273336,0.00
6.376155,0.00
6.477665,0.00
6.580240,0.00
6.681453,0.00
6.784462,0.00
6.887170,0.00
6.988352,0.00
7.089870,0.00
7.191502,0.00
7.292802,0.00
7.394852,0.00
7.496807,0.00
7.597940,0.00
7.698425,0.00
7.799636,0.00
7.900429,0.00
8.001566,0.00
8.102440,0.00
8.203905,0.00
8.304923,0.00
8.407119,0.00
8.510145,0.00
8.612508,0.00
8.714746,0.00
8.816427,0.00
8.918850,0.00
9.021338,0.00
9.123655,0.00
9.224401,0.00
9.326617,0.00
9.428427,0.00
9.530145,0.00
9.632442,0.00
9.734079,0.00
9.835921,0.00
9.937539,0.00
10.039615,0.00
10.140826,0.00
10.243046,0.00
10.345394,0.00
10.447491,0.00
10.549055,0.00
10.651203,0.00
10.752763,0.00
10.855825,0.00
10.958598,0.00
11.059315,0.00
11.160962,0.00
11.263377,0.00
11.366177,0.00
11.468143,0.00
11.569815,0.00
11.672533,0.00
11.775218,0.00
11.878610,0.00
11.980529,0.00
12.082061,0.00
12.183908,0.00
12.284970,0.00
12.385387,0.00
12.488051,0.00
12.591505,0.00
12.692691,0.00
12.795347,0.00
12.898109,0.00
12.999432,0.00
13.102241,0.00
13.204164,0.00
13.307069,0.00
13.408119,0.00
13.511276,0.00
13.613174,0.00
13.715989,0.00
13.817256,0.00
13.920050,0.00
14.022061,0.00
14.124326,0.00
14.225735,0.00
14.327214,0.00
14.428299,0.00
14.531209,0.00
14.633885,0.00
14.736238,0.00
14.839001,0.00
14.940427,0.00
15.042104,0.00
15.143657,0.00
15.244826,0.00
15.346070,0.00
15.448869,0.00
15.550141,0.00
15.652275,0.00
15.755242,0.00
15.856536,0.00
15.958123,0.00
16.059338,0.00
16.161864,0.00
16.262970,0.00
16.365345,0.00
16.468118,0.00
16.570774,0.00
16.672600,0.00
16.775015,0.00
16.876368,0.00
16.979161,0.00
17.081623,0.00
17.183455,0.00
17.285518,0.00
17.388502,0.00
17.490705,0.00
17.592516,0.00
17.693289,0.00
17.794431,0.00
17.896184,0.00
17.999390,0.00
18.101155,0.00
18.204048,0.00
18.306051,0.00
18.409109,0.00
18.511250,0.00
18.612798,0.00
18.713694,0.00
18.814504,0.00
18.915843,0.00
19.016791,0.00
19.119397,0.00
19.221824,0.00
19.322624,0.00
19.424507,0.00
19.526137,0.00
19.628602,0.00
19.729757,0.00
19.832570,0.00
19.933673,0.00
20.035902,0.00
20.137924,0.00
20.239209,0.00
20.340731,0.00
20.443851,0.00
20.544994,0.00
20.645905,0.00
20.747937,0.00
20.849703,0.00
20.952130,0.00
21.054132,0.00
21.156488,0.00
21.257761,0.00
21.359170,0.00
21.460866,0.00
21.563545,0.00
21.665358,0.00
21.768469,0.00
21.869279,0.00
21.971769,0.00
22.074264,0.00
22.176943,0.00
22.278015,0.00
22.378758,0.00
22.480800,0.00
22.581482,0.00
22.683866,0.00
22.785134,0.00
22.887054,0.00
22.988757,0.00
23.089935,0.00
23.191839,0.00
23.292857,0.00
23.394119,0.00
23.495676,0.00
23.596449,0.00
23.697527,0.00
23.799927,0.00
23.901925,0.00
24.003633,0.00
24.106559,0.00
24.208597,0.00
24.310449,0.00
24.412140,0.00
24.513458,0.00
24.616244,0.00
24.719170,0.00
24.821213,0.00
24.923760,0.00
25.025122,0.00
25.128286,0.00
25.231530,0.00
25.332077,0.00
25.433035,0.00
25.534203,0.00
25.636489,0.00
25.739560,0.00
25.840833,0.00
25.942441,0.00
26.045067,0.00
26.145800,0.00
26.246987,0.00
26.347612,0.00
26.448687,0.00
26.549721,0.00
26.652419,0.00
26.754900,0.00
26.856502,0.00
26.958764,0.00
27.060502,0.00
27.163240,0.00
27.264401,0.00
27.367347,0.00
27.469173,0.00
27.570853,0.00
27.672155,0.00
27.774039,0.00
27.875096,0.00
27.977050,0.00
28.079637,0.00
28.181399,0.00
28.283581,0.00
28.384760,0.00
28.486474,0.00
28.588198,0.00
28.689771,0.00
28.790798,0.00
28.892529,0.00
28.993854,0.00
29.095837,0.00
29.197817,0.00
29.299935,0.00
29.401108,0.00
29.502672,0.00
29.603558,0.00
29.704990,0.00
29.806249,0.00
29.909022,0.00
30.010466,0.00
30.112563,0.00
