time,I
0.029818,1072.67
0.131262,1072.67
0.232190,1072.67
0.333723,1071.71
0.434257,1071.71
0.535014,1071.71
0.636239,1071.71
0.736867,1071.71
0.836549,1071.71
0.936897,1071.71
1.036722,1070.74
1.136927,1070.74
1.236977,1070.74
1.336902,1071.71
1.437436,1070.74
1.537895,1070.74
1.638215,1071.71
1.738535,1070.74
1.839364,1070.74
1.940174,1071.71
2.041593,1071.71
2.142329,1071.71
2.243258,1071.71
2.348901,1072.67
2.449063,1072.67
2.550752,1072.67
2.650889,1072.67
2.751271,1072.67
2.852450,1073.64
2.953240,1073.64
3.054011,1073.64
3.154235,1073.64
3.255269,1073.64
3.355872,1073.64
3.455921,1073.64
3.556082,1073.64
3.657649,1073.64
3.757626,1073.64
3.857932,1073.64
3.958084,1073.64
4.059621,1072.67
4.159937,1073.64
4.260566,1073.64
4.361552,1073.64
4.462085,1073.64
4.563677,1073.64
4.664413,1074.61
4.764976,1075.58
4.866071,1075.58
4.968225,1074.61
5.069859,1074.61
5.172431,1074.61
5.274054,1073.64
5.375922,1074.61
5.477445,1074.61
5.578966,1074.61
5.680757,1074.61
5.781371,1074.61
5.882121,1074.61
5.984438,1074.61
6.085026,1073.64
6.187523,1073.64
6.288746,1073.64
6.390426,1073.64
6.491490,1073.64
6.592588,1073.64
6.693086,1073.64
6.794935,1073.64
6.896516,1073.64
7.007279,1074.61
7.108304,1074.61
7.209539,1074.61
7.310538,1074.61
7.412320,1074.61
7.514560,1074.61
7.616183,1074.61
7.717805,1074.61
7.818635,1074.61
7.919879,1074.61
8.020499,1074.61
8.122021,1074.61
8.224492,1074.61
8.325515,1074.61
8.427169,1073.64
8.529852,1073.64
8.630983,1073.64
8.732480,1072.67
8.833552,1073.64
8.934939,1073.64
9.036843,1073.64
9.137980,1073.64
9.240123,1073.64
9.341966,1073.64
9.444923,1074.61
9.546708,1074.61
9.648145,1074.61
9.749957,1075.58
9.857432,1074.61
9.959534,1074.61
10.061834,1075.58
10.164365,1075.58
10.265885,1075.58
10.367425,1075.58
10.467958,1074.61
10.570140,1074.61
10.672352,1075.58
10.773716,1074.61
10.875422,1074.61
10.977655,1074.61
11.078870,1073.64
11.180960,1073.64
11.281778,1073.64
11.383425,1073.64
11.484711,1073.64
11.585369,1074.61
11.686616,1073.64
11.788475,1074.61
11.891445,1074.61
11.992987,1074.61
12.095418,1074.61
12.197432,1074.61
12.300480,1075.58
12.408125,1074.61
12.511350,1074.61
12.613410,1074.61
12.715893,1074.61
12.816460,1074.61
12.918031,1075.58
13.019134,1074.61
13.121991,1074.61
13.223699,1074.61
13.324323,1075.58
13.425368,1075.58
13.527957,1075.58
13.629262,1074.61
13.731261,1074.61
13.832270,1075.58
13.933113,1074.61
14.034102,1074.61
14.136108,1074.61
14.238763,1074.61
14.340145,1074.61
14.442902,1074.61
14.543014,1074.61
14.644586,1074.61
14.745799,1074.61
14.846650,1074.61
14.962003,1075.58
15.064371,1075.58
15.166009,1075.58
15.267415,1075.58
15.369388,1075.58
15.470997,1075.58
15.573867,1075.58
15.675631,1075.58
15.776992,1075.58
15.878465,1075.58
15.979774,1075.58
16.080877,1075.58
16.182710,1075.58
16.283402,1075.58
16.385506,1074.61
16.486964,1075.58
16.589122,1075.58
16.691824,1075.58
16.793194,1075.58
16.894817,1075.58
16.997255,1075.58
17.099520,1075.58
17.200654,1075.58
17.301440,1075.58
17.404318,1075.58
17.506600,1075.58
17.608051,1075.58
17.710772,1075.58
17.812244,1075.58
17.913966,1075.58
18.016299,1075.58
18.118818,1075.58
18.220305,1075.58
18.322062,1075.58
18.425001,1075.58
18.528004,1075.58
18.629195,1075.58
18.732217,1075.58
18.833917,1075.58
18.935404,1076.55
19.036276,1075.58
19.137772,1075.58
19.240088,1075.58
19.341581,1075.58
19.443854,1075.58
19.545242,1075.58
19.648383,1075.58
19.751483,1075.58
