time,I
0.017629,1023.26
0.117688,1026.16
0.219160,1023.26
0.319466,1023.26
0.419504,1020.35
0.520764,1019.38
0.621467,1019.38
0.721330,1019.38
0.822006,1019.38
0.923096,1019.38
1.024187,1019.38
1.125506,1020.35
1.228196,1020.35
1.328651,1019.38
1.430543,1019.38
1.532756,1019.38
1.633581,1019.38
1.734736,1018.41
1.835502,1019.38
1.936683,1019.38
2.038291,1019.38
2.138127,1018.41
2.239971,1018.41
2.342824,1018.41
2.444127,1018.41
2.546284,1018.41
2.648533,1016.47
2.755584,1017.44
2.858846,1017.44
2.960498,1017.44
3.061756,1017.44
3.164039,1017.44
3.265503,1016.47
3.367169,1016.47
3.468444,1016.47
3.570013,1016.47
3.672001,1016.47
3.773150,1016.47
3.873702,1016.47
3.975134,1017.44
4.077344,1017.44
4.178610,1017.44
4.280130,1018.41
4.380362,1018.41
4.481200,1018.41
4.583123,1018.41
4.684752,1018.41
4.786256,1018.41
4.887187,1018.41
4.988426,1018.41
5.089175,1018.41
5.189741,1017.44
5.302396,1016.47
5.403423,1016.47
5.504265,1015.50
5.606215,1015.50
5.706636,1015.50
5.808496,1015.50
5.909090,1015.50
6.010029,1015.50
6.110984,1015.50
6.212311,1015.50
6.313613,1015.50
6.416540,1015.50
6.518598,1015.50
6.621212,1015.50
6.721795,1016.47
6.822969,1014.53
6.924443,1014.53
7.025121,1015.50
7.125768,1015.50
7.228881,1015.50
7.329729,1015.50
7.432518,1015.50
7.534758,1015.50
7.637283,1015.50
7.738358,1015.50
7.838995,1015.50
7.940333,1015.50
8.041346,1015.50
8.141526,1015.50
8.242604,1015.50
8.344603,1015.50
8.446230,1015.50
8.547198,1015.50
8.648687,1015.50
8.750667,1015.50
8.852477,1015.50
8.953091,1015.50
9.054393,1015.50
9.154888,1015.50
9.257290,1015.50
9.357415,1014.53
9.459658,1014.53
9.560850,1014.53
9.662221,1014.53
9.763169,1014.53
9.863452,1014.53
9.965111,1014.53
10.066072,1014.53
10.167569,1013.57
10.269966,1013.57
10.371971,1013.57
10.474051,1013.57
10.575531,1013.57
10.676282,1013.57
10.777096,1013.57
10.878278,1013.57
10.980444,1013.57
11.080958,1013.57
11.182280,1013.57
11.284640,1013.57
11.385674,1013.57
11.486529,1014.53
11.589701,1013.57
11.690835,1013.57
11.792979,1013.57
11.893278,1014.53
11.993780,1014.53
12.095278,1014.53
12.197334,1014.53
12.298726,1014.53
12.399930,1013.57
12.501878,1013.57
12.603489,1013.57
12.704733,1013.57
12.806248,1013.57
12.906753,1013.57
13.009141,1013.57
13.110485,1013.57
13.211573,1013.57
13.312771,1013.57
13.415700,1013.57
13.516973,1013.57
13.619004,1012.60
13.720239,1012.60
13.821942,1012.60
13.923574,1012.60
14.025328,1011.63
14.125800,1011.63
14.228833,1011.63
14.330406,1010.66
14.431265,1010.66
14.532270,1011.63
14.632922,1011.63
14.734396,1011.63
14.834788,1010.66
14.936594,1010.66
15.039076,1008.72
15.140852,1008.72
15.243108,1008.72
15.343971,1007.75
15.444967,1007.75
15.546019,1007.75
15.655989,1008.72
15.756894,1008.72
15.858632,1009.69
15.959630,1008.72
16.060976,1008.72
16.161994,1007.75
16.264761,1007.75
16.366102,1007.75
16.468716,1007.75
16.570109,1007.75
16.672214,1007.75
16.773515,1007.75
16.876556,1007.75
16.979091,1007.75
17.079956,1006.78
17.181074,1006.78
17.283171,1006.78
17.385564,1006.78
17.486992,1006.78
17.588191,1006.78
17.689522,1006.78
17.792479,1006.78
17.893955,1006.78
17.994530,1006.78
18.095412,1006.78
18.197212,1007.75
18.299487,1007.75
18.401918,1007.75
18.512593,1006.78
18.615082,1006.78
18.715666,1006.78
18.816921,1007.75
18.917862,1007.75
19.020415,1006.78
19.121094,1006.78
19.223288,1006.78
19.323845,1005.81
19.425923,1005.81
19.527458,1005.81
19.629325,1004.84
19.729697,1005.81
19.831858,1005.81
19.933111,1005.81
20.034714,1005.81
20.136239,1005.81
20.237763,1005.81
20.339516,1006.78
20.440571,1005.81
20.541210,1005.81
20.642210,1006.78
20.742586,1004.84
20.845436,1004.84
20.946487,1003.88
21.046958,1004.84
21.147643,1004.84
21.248656,1005.81
21.359875,1004.84
21.461743,1004.84
21.562965,1004.84
21.664654,1004.84
21.766375,1004.84
21.867655,1004.84
21.969482,1003.88
22.072188,1003.88
22.173145,1003.88
22.274702,1003.88
22.375920,1003.88
22.476900,1004.84
22.579712,1004.84
22.681388,1004.84
22.782428,1005.81
22.883127,1006.78
22.984635,1006.78
23.087426,1003.88
23.188860,1002.91
23.289036,1001.94
23.390190,1001.94
23.491362,1001.94
23.592381,1001.94
23.693867,1001.94
23.795089,1001.94
23.895547,1003.88
23.997311,1003.88
24.097580,1005.81
24.212937,1007.75
24.313991,1007.75
24.415014,1009.69
24.516640,1009.69
24.619420,1009.69
24.721909,1009.69
24.823859,1009.69
24.925554,1009.69
25.028192,1009.69
25.130090,1009.69
25.231559,1009.69
25.333124,1009.69
25.434289,1009.69
25.534605,1009.69
25.637046,1009.69
25.737913,1009.69
25.839061,1009.69
25.940142,1009.69
26.041724,1009.69
26.143529,1009.69
26.245684,1009.69
26.347130,1009.69
26.449167,1009.69
26.550747,1009.69
26.652587,1010.66
26.753894,1009.69
26.855468,1009.69
26.957485,1008.72
27.063122,1007.75
27.164323,1007.75
27.265173,1007.75
27.366183,1008.72
27.468559,1008.72
27.569936,1008.72
27.672669,1008.72
27.774544,1008.72
27.876508,1008.72
27.976331,1007.75
28.077828,1007.75
28.179965,1004.84
28.280698,1003.88
28.382136,1003.88
28.482651,1002.91
28.583937,1003.88
28.685167,1002.91
28.786592,1002.91
28.887947,1003.88
28.988938,1007.75
29.089724,1007.75
29.191466,1009.69
29.291973,1011.63
29.393945,1011.63
29.495228,1012.60
29.597716,1012.60
29.700655,1012.60
29.801771,1010.66
29.903308,1010.66
30.004531,1010.66
30.106367,1010.66
30.207817,1010.66
30.309737,1010.66
30.412123,1010.66
30.515363,1010.66
30.616004,1010.66
30.717805,1009.69
30.819394,1009.69
30.919951,1009.69
31.022427,1009.69
31.123252,1009.69
31.225324,1009.69
31.326509,1010.66
31.427535,1010.66
31.528094,1010.66
31.629970,1010.66
31.731066,1010.66
31.832743,1010.66
31.933914,1010.66
32.035493,1010.66
32.135849,1010.66
32.237791,1010.66
32.338590,1009.69
32.439217,1008.72
32.540426,1008.72
32.640666,1007.75
32.741754,1007.75
32.844289,1007.75
32.945659,1007.75
33.046199,1008.72
33.147325,1008.72
33.247906,1010.66
33.349100,1010.66
33.450980,1010.66
33.552211,1009.69
33.665480,1008.72
33.766646,1008.72
33.869832,1007.75
33.971191,1007.75
34.074046,1007.75
34.175062,1007.75
34.277376,1007.75
34.378659,1007.75
34.481654,1007.75
34.582874,1007.75
34.685066,1007.75
34.786333,1007.75
34.886917,1007.75
34.988020,1008.72
35.089729,1008.72
35.191102,1008.72
35.293796,1008.72
35.394764,1008.72
35.496677,1007.75
35.598776,1007.75
35.701630,1007.75
35.805033,1007.75
35.906030,1007.75
36.007594,1007.75
36.109810,1006.78
36.210641,1007.75
36.313881,1007.75
36.414915,1007.75
36.516989,1006.78
36.619494,1006.78
36.719966,1006.78
36.820971,1007.75
36.923588,1007.75
37.025052,1007.75
37.125937,1008.72
37.226847,1008.72
37.327675,1009.69
37.428605,1008.72
37.529378,1008.72
37.630118,1016.47
37.730834,1015.50
