time,I
0.074047,3672.48
0.176404,3676.36
0.277131,3676.36
0.379777,3672.48
0.480995,3672.48
0.581329,3672.48
0.682402,3671.51
0.783115,3668.60
0.883883,3668.60
0.984023,3669.57
1.084174,3662.79
1.184707,3662.79
1.285427,3666.67
1.386390,3672.48
1.486917,3677.33
1.589460,3677.33
1.690956,3687.02
1.791038,3686.05
1.891668,3686.05
1.992676,3690.89
2.093268,3684.11
2.195214,3684.11
2.296421,3681.20
2.397545,3682.17
2.500054,3682.17
2.600825,3685.08
2.713724,3682.17
2.814608,3682.17
2.916654,3682.17
3.017923,3683.14
3.118499,3683.14
3.219978,3681.20
3.320603,3678.29
3.422992,3678.29
3.523869,3679.26
3.626459,3679.26
3.729415,3679.26
3.831163,3677.33
3.932567,3676.36
4.034038,3676.36
4.134558,3674.42
4.235945,3673.45
4.336813,3673.45
4.438355,3673.45
4.539609,3676.36
4.641403,3676.36
4.744346,3676.36
4.846197,3670.54
4.947251,3667.64
5.048809,3667.64
5.149712,3672.48
5.250858,3672.48
5.351677,3672.48
5.453099,3668.60
5.565837,3667.64
5.667886,3667.64
5.768921,3677.33
5.869719,3681.20
5.970418,3681.20
6.073060,3681.20
6.174601,3677.33
6.276108,3677.33
6.376671,3676.36
6.478971,3676.36
6.581274,3676.36
6.684259,3676.36
6.785789,3674.42
6.888008,3672.48
6.989909,3672.48
7.091108,3667.64
7.192987,3668.60
7.293685,3668.60
7.394588,3667.64
7.495915,3664.73
7.597603,3664.73
7.698879,3666.67
7.801014,3668.60
7.901404,3668.60
8.002205,3669.57
8.104199,3669.57
8.206584,3669.57
8.307961,3672.48
8.414405,3670.54
8.516644,3670.54
8.617553,3671.51
8.718055,3672.48
8.818552,3672.48
8.921030,3671.51
9.021942,3664.73
9.122701,3664.73
9.224504,3666.67
9.325794,3670.54
9.426718,3670.54
9.527962,3666.67
9.628192,3669.57
9.729924,3669.57
9.832498,3669.57
9.933575,3663.76
10.036252,3663.76
10.138871,3660.85
10.240497,3657.95
10.341674,3657.95
10.443490,3657.95
10.544442,3662.79
10.645834,3661.82
10.746879,3661.82
10.847931,3662.79
10.948984,3658.91
11.052011,3658.91
11.153815,3657.95
11.268646,3654.07
11.369524,3654.07
11.470820,3656.01
11.571290,3660.85
11.672853,3660.85
11.774057,3661.82
11.874664,3657.95
11.977429,3657.95
12.079722,3656.98
12.180695,3660.85
12.282222,3660.85
12.384090,3660.85
12.484480,3656.01
12.586199,3656.01
12.688076,3654.07
12.789409,3655.04
12.890309,3655.04
12.992259,3655.04
13.094787,3655.04
13.195969,3652.13
13.296605,3652.13
13.398611,3648.26
13.500981,3653.10
13.602194,3653.10
13.704657,3652.13
13.805778,3646.32
13.906497,3646.32
14.009323,3646.32
14.118720,3654.07
14.220782,3654.07
14.322998,3657.95
14.423671,3658.91
14.525550,3658.91
14.628356,3656.98
14.730172,3655.04
14.832826,3655.04
14.934726,3652.13
15.035508,3651.16
15.136736,3651.16
15.238399,3651.16
15.340212,3656.98
15.449818,3656.01
15.551158,3656.01
15.652485,3650.19
15.753258,3646.32
15.856254,3646.32
15.957899,3647.29
16.067096,3648.26
16.168934,3648.26
16.270047,3649.22
16.372125,3648.26
16.472996,3648.26
16.574646,3650.19
16.675650,3651.16
16.777574,3651.16
16.879692,3652.13
16.980445,3656.01
17.083620,3656.01
17.185642,3654.07
17.287218,3653.10
17.388058,3652.13
17.488642,3652.13
17.589624,3649.22
17.703718,3648.26
17.805806,3648.26
17.907069,3653.10
18.009056,3653.10
18.109509,3653.10
18.210581,3650.19
18.311855,3648.26
18.412359,3648.26
18.513460,3645.35
18.614652,3649.22
18.716761,3649.22
18.818115,3649.22
18.918546,3647.29
19.020850,3647.29
