time,I
0.046173,1012.60
0.146455,1012.60
0.248704,1012.60
0.349727,1011.63
0.450442,1011.63
0.552280,1011.63
0.653654,1011.63
0.754648,1011.63
0.857424,1012.60
0.960576,1012.60
1.063651,1012.60
1.165661,1011.63
1.269726,1010.66
1.370590,1010.66
1.471901,1011.63
1.574522,1012.60
1.675353,1012.60
1.777730,1011.63
1.878416,1011.63
1.980754,1011.63
2.082402,1012.60
2.184861,1012.60
2.286102,1012.60
2.387081,1012.60
2.487314,1011.63
2.589574,1011.63
2.692292,1011.63
2.794030,1011.63
2.895203,1011.63
2.996932,1011.63
3.097679,1010.66
3.199265,1010.66
3.300441,1010.66
3.402308,1010.66
3.504652,1010.66
3.605818,1010.66
3.706732,1010.66
3.809056,1010.66
3.911279,1010.66
4.013593,1010.66
4.116572,1010.66
4.217739,1010.66
4.319992,1011.63
4.420635,1011.63
4.522492,1011.63
4.623446,1011.63
4.724897,1012.60
4.826093,1012.60
4.927035,1012.60
5.027554,1012.60
5.128608,1012.60
5.229703,1012.60
5.330433,1011.63
5.431820,1011.63
5.532778,1011.63
5.633469,1010.66
5.734444,1010.66
5.836030,1011.63
5.936737,1010.66
6.037222,1010.66
6.138014,1011.63
6.238864,1010.66
6.339991,1010.66
6.440840,1010.66
6.541855,1011.63
6.643043,1011.63
6.743950,1011.63
6.844870,1012.60
6.945599,1012.60
7.047026,1012.60
7.147382,1012.60
7.248156,1012.60
7.348237,1012.60
7.448183,1012.60
7.547795,1011.63
7.648515,1011.63
7.749301,1010.66
7.850191,1010.66
7.950291,1010.66
8.050447,1010.66
8.151416,1010.66
8.252897,1010.66
8.353303,1010.66
8.455248,1010.66
8.556230,1010.66
8.656722,1010.66
8.758146,1010.66
8.858548,1010.66
8.961423,1010.66
9.064063,1010.66
9.165650,1010.66
9.267767,1010.66
9.372423,1012.60
9.474184,1012.60
9.575179,1011.63
9.675003,1012.60
9.776169,1012.60
9.877700,1011.63
9.980267,1011.63
10.081958,1011.63
10.184051,1011.63
10.286202,1011.63
10.387354,1011.63
