time,I
0.041858,29.07
0.142313,30.04
0.242706,30.04
0.343418,30.04
0.444159,29.07
0.544665,29.07
0.646363,30.04
0.747985,30.04
0.848769,30.04
0.950241,30.04
1.051212,29.07
1.152219,29.07
1.254689,30.04
1.355742,30.04
1.457011,30.04
1.558414,30.04
1.659583,30.04
1.760192,30.04
1.862690,30.04
1.965930,30.04
2.068944,30.04
2.171289,30.04
2.271931,30.04
2.373682,30.04
2.474147,30.04
2.576108,30.04
2.678823,30.04
2.782148,30.04
2.883116,30.04
2.983779,30.04
3.084750,30.04
3.187230,30.04
3.289835,30.04
3.391332,30.04
3.493330,30.04
3.594512,30.04
3.697011,30.04
3.799613,29.07
3.900414,30.04
4.002460,30.04
4.104283,30.04
4.206986,30.04
4.308689,30.04
4.410361,30.04
4.511917,30.04
4.613904,30.04
4.716192,30.04
4.818269,30.04
4.919185,30.04
5.021037,30.04
5.123588,30.04
5.224684,30.04
5.325468,30.04
5.426012,30.04
5.528120,30.04
5.630403,30.04
5.732432,30.04
5.834989,30.04
5.936845,30.04
6.038315,30.04
6.138612,30.04
6.240901,30.04
6.343311,30.04
6.444948,30.04
6.546196,30.04
6.647198,29.07
6.748280,30.04
6.850333,30.04
6.952569,30.04
7.053745,30.04
7.155653,30.04
7.258025,30.04
7.360961,30.04
7.462032,30.04
7.564269,30.04
7.665307,30.04
7.766095,30.04
7.868740,30.04
7.972046,30.04
8.074079,30.04
8.176165,30.04
8.278831,30.04
8.380239,30.04
8.481917,30.04
8.583714,30.04
8.686983,30.04
8.788759,30.04
8.891320,30.04
8.993781,30.04
9.096134,30.04
9.197595,30.04
9.299204,30.04
9.401279,30.04
9.503102,30.04
9.606288,30.04
9.707666,30.04
9.809452,30.04
9.911448,30.04
10.012348,30.04
10.114907,30.04
10.217537,30.04
10.319197,30.04
10.421167,30.04
10.523482,30.04
10.624380,30.04
10.725471,30.04
10.827453,30.04
10.928248,30.04
11.030924,30.04
11.132197,30.04
11.233855,30.04
11.335736,30.04
11.439140,30.04
11.540942,30.04
11.643780,30.04
11.745052,30.04
11.847689,30.04
11.950248,30.04
12.052062,30.04
12.153790,30.04
12.257106,30.04
12.359033,30.04
12.459737,30.04
12.560231,30.04
12.663245,30.04
12.765313,30.04
12.875726,31.01
12.976126,31.01
13.077706,30.04
13.178088,30.04
13.279211,30.04
13.381728,30.04
13.482930,30.04
13.584328,30.04
13.685466,30.04
13.786426,31.01
13.888074,31.01
13.989400,30.04
14.091593,30.04
14.192830,30.04
14.296027,30.04
14.397071,31.01
14.498902,31.01
14.601235,30.04
14.703220,30.04
14.804467,30.04
14.906392,30.04
15.006675,31.01
15.107812,30.04
15.210742,30.04
15.313934,30.04
15.415355,30.04
15.516210,30.04
15.617894,30.04
15.720398,30.04
15.821569,30.04
15.923717,31.01
16.026833,30.04
16.128505,30.04
16.230129,31.01
16.330631,30.04
16.431670,30.04
16.532248,31.01
16.632881,30.04
16.735773,30.04
16.838291,30.04
16.939142,31.01
17.039966,31.01
17.142823,31.01
17.246045,31.01
17.348088,31.01
17.450300,31.01
17.551747,31.01
17.653483,31.01
17.755119,31.01
17.855886,31.01
17.957813,31.01
18.059622,31.01
18.160854,31.01
18.262169,31.01
18.364156,31.01
18.466082,30.04
18.575774,31.01
18.678152,31.01
18.780097,31.01
18.881179,31.01
18.983164,31.01
19.084066,31.01
19.186406,31.01
19.288144,31.01
19.390907,31.01
19.493845,31.01
19.596084,31.01
19.697114,30.04
19.799603,30.04
19.900744,30.04
20.002706,31.01
20.104949,31.01
20.207351,31.01
20.309670,31.01
20.412395,31.01
20.514546,31.01
20.615918,31.01
20.718660,31.01
20.819267,31.01
20.921636,31.01
21.023061,31.01
21.124567,31.01
21.226674,31.01
21.326951,31.01
21.429643,31.01
21.530924,31.01
21.633644,30.04
21.734662,31.01
21.836062,31.01
21.937485,31.01
22.039286,31.01
22.140343,31.01
22.241136,31.01
22.342255,31.01
22.443658,31.01
22.544369,31.01
22.645257,31.01
22.747318,31.01
22.849754,31.01
22.952119,31.01
23.053219,31.01
23.154236,31.01
23.255861,31.01
23.357596,31.01
23.459505,31.01
23.561330,31.01
23.662990,31.01
23.764380,31.01
23.866369,31.01
23.968359,31.01
24.069029,31.01
24.171965,30.04
24.273201,31.01
24.373906,31.01
24.475034,31.01
24.577134,30.04
24.678663,30.04
24.780037,31.01
24.882833,31.01
24.985811,31.01
25.088094,31.01
25.190406,31.01
25.291526,31.01
25.392666,31.01
25.494425,31.01
25.596274,31.01
25.698875,31.01
25.800020,31.01
25.903024,31.01
26.004727,31.01
26.108125,31.01
26.208559,31.01
26.309613,31.01
26.411691,31.01
26.512128,31.01
26.615199,31.01
26.716287,31.01
26.817012,31.01
26.919897,31.01
27.022692,31.01
27.123294,31.01
27.224661,31.01
27.326440,31.01
27.428308,31.01
27.531018,31.01
27.632217,31.01
27.733308,31.01
27.834156,31.01
27.934726,31.01
28.034730,31.01
28.134543,31.01
28.234739,31.01
28.335232,31.01
28.435834,31.01
28.536963,31.01
28.638514,31.01
28.739171,31.01
28.839769,31.01
28.940460,31.01
29.041228,31.01
29.142902,31.01
29.245339,31.01
29.347045,31.01
29.447960,31.01
29.549871,31.01
29.651470,31.01
29.752041,31.01
29.853726,31.01
29.957195,31.01
30.059906,31.01
30.162752,31.01
30.263785,30.04
30.367021,30.04
30.468983,31.01
30.570465,31.01
30.671495,31.01
30.772316,31.01
30.880046,30.04
30.981692,30.04
31.082212,30.04
31.183079,30.04
31.284997,30.04
31.385744,30.04
31.486629,30.04
31.587204,30.04
31.688283,30.04
