time,I
0.067067,4.84
0.168405,4.84
0.268535,5.81
0.368962,4.84
0.469873,4.84
0.570779,5.81
0.686181,4.84
0.786856,4.84
0.887493,5.81
0.989230,5.81
1.089448,5.81
1.191313,5.81
1.293206,5.81
1.394570,5.81
1.496274,5.81
1.596883,5.81
1.698321,5.81
1.801511,5.81
1.903505,5.81
2.004964,5.81
2.107454,5.81
2.207909,5.81
2.309001,5.81
2.409679,5.81
2.510421,4.84
2.612204,4.84
2.712898,5.81
2.814423,5.81
2.915331,5.81
3.016885,5.81
3.119348,5.81
3.220599,5.81
3.322430,5.81
3.423883,5.81
3.533081,4.84
3.634055,4.84
3.734634,5.81
3.836727,5.81
3.939129,5.81
4.039924,5.81
4.141020,5.81
4.242177,5.81
4.344126,5.81
4.446344,5.81
4.547536,5.81
4.649162,5.81
4.751601,5.81
4.852721,5.81
4.954460,4.84
5.054542,5.81
5.157577,5.81
5.259810,5.81
5.361145,5.81
5.462135,5.81
5.563366,5.81
5.663986,4.84
5.766307,4.84
5.867867,5.81
5.970214,5.81
6.072489,5.81
6.173693,5.81
6.276419,5.81
6.377753,5.81
6.479489,5.81
6.580785,5.81
6.683296,5.81
6.784133,5.81
6.885517,4.84
6.986089,5.81
7.086837,5.81
7.189038,5.81
7.289497,4.84
7.390740,4.84
7.493129,5.81
7.594021,5.81
7.696470,5.81
7.798804,5.81
7.900265,5.81
8.000283,5.81
8.101582,5.81
8.202785,5.81
8.304778,5.81
8.406128,5.81
8.508471,5.81
8.610244,5.81
8.710519,4.84
8.812219,5.81
8.912785,5.81
9.014140,4.84
9.115387,5.81
9.216415,5.81
9.319566,5.81
9.421649,5.81
9.524151,5.81
9.624456,5.81
9.725573,4.84
9.836849,5.81
9.938493,5.81
10.039326,5.81
10.141020,5.81
10.243127,5.81
10.345407,5.81
10.446353,5.81
10.547405,5.81
10.648111,5.81
10.748853,5.81
10.850436,5.81
10.951013,5.81
11.052597,5.81
11.154111,5.81
11.255313,5.81
11.356877,5.81
11.457957,5.81
11.560409,4.84
11.661214,5.81
11.761938,5.81
11.863446,5.81
11.965638,5.81
12.067340,5.81
12.167638,5.81
12.269509,5.81
12.370637,5.81
12.472708,5.81
12.573642,4.84
12.675349,4.84
12.776478,4.84
12.878450,5.81
12.980163,5.81
13.080691,5.81
13.181940,5.81
13.284367,5.81
13.386236,5.81
13.487237,5.81
13.587816,4.84
13.689596,4.84
13.790475,5.81
13.892471,5.81
13.992902,5.81
14.094224,5.81
14.195078,5.81
14.296522,5.81
14.398835,5.81
14.501165,5.81
14.601867,5.81
14.702765,5.81
14.805450,5.81
14.907305,5.81
15.009614,5.81
15.112547,5.81
15.215214,5.81
15.316452,5.81
15.418237,5.81
15.518485,5.81
15.620331,5.81
15.721102,5.81
15.821827,5.81
15.922895,5.81
16.023605,4.84
16.124771,5.81
16.225638,5.81
16.327178,5.81
16.427873,5.81
16.529236,5.81
16.629624,5.81
16.731010,5.81
16.833489,5.81
16.935170,5.81
17.035276,4.84
17.136942,4.84
17.238825,5.81
17.340094,5.81
17.440903,5.81
17.542019,5.81
17.644511,5.81
17.745677,5.81
17.847465,5.81
17.950354,5.81
18.051756,5.81
18.153605,5.81
18.256397,5.81
18.357728,5.81
18.458778,5.81
18.560082,4.84
18.661773,4.84
18.762753,5.81
18.864355,5.81
18.964512,5.81
19.065797,5.81
19.166480,5.81
19.268230,5.81
19.368741,5.81
19.470287,5.81
19.571079,5.81
19.671877,5.81
19.772855,5.81
19.873536,5.81
19.975109,5.81
20.076061,5.81
20.178116,5.81
20.279567,5.81
20.382032,4.84
20.489046,5.81
20.590325,5.81
20.691368,5.81
20.792951,5.81
20.895110,5.81
20.996060,5.81
21.097503,5.81
21.198531,5.81
21.301338,5.81
21.402415,5.81
21.503828,5.81
21.605167,5.81
21.705804,5.81
21.806462,5.81
21.906896,5.81
22.008412,5.81
22.109666,5.81
22.211222,5.81
22.311937,5.81
22.413661,5.81
22.516430,5.81
22.616949,5.81
22.717950,5.81
22.819506,5.81
22.921386,5.81
23.021965,5.81
23.122747,5.81
23.223988,4.84
23.325077,5.81
23.426037,5.81
23.526674,4.84
23.627860,5.81
23.728991,5.81
23.829618,4.84
23.936239,5.81
24.036788,5.81
24.137986,5.81
24.238700,5.81
24.340898,5.81
24.442078,5.81
24.544429,5.81
24.645716,5.81
24.747546,5.81
24.848511,5.81
24.949662,5.81
25.050871,5.81
25.153021,5.81
25.253841,5.81
25.355292,5.81
25.455410,4.84
25.557652,4.84
25.659967,5.81
25.760935,5.81
25.861548,5.81
25.962857,5.81
26.063822,5.81
26.165172,5.81
26.266357,4.84
26.367472,5.81
26.469330,5.81
26.569720,5.81
26.672477,5.81
26.775557,5.81
26.876829,5.81
26.979365,5.81
27.080543,5.81
27.181981,5.81
27.282754,5.81
27.385391,5.81
27.486349,5.81
27.588634,5.81
27.690391,5.81
27.791888,5.81
27.897706,5.81
28.000142,5.81
28.101177,5.81
28.201976,4.84
28.302737,5.81
28.403424,5.81
28.504575,5.81
28.605562,5.81
28.706622,5.81
28.808232,4.84
28.909317,5.81
29.010335,5.81
29.110984,4.84
29.211455,5.81
29.312458,5.81
29.413642,5.81
29.515177,5.81
29.616766,5.81
29.718239,4.84
29.820457,4.84
29.921134,5.81
30.021726,5.81
30.123053,4.84
