time,I
0.082138,9.69
0.182079,9.69
0.282576,9.69
0.383190,9.69
0.483975,9.69
0.584739,9.69
0.685763,9.69
0.786801,9.69
0.887733,9.69
0.988604,9.69
1.089934,9.69
1.190949,9.69
1.291237,9.69
1.391066,9.69
1.491805,9.69
1.592057,9.69
1.692157,9.69
1.792809,10.66
1.893695,9.69
1.994234,9.69
2.094955,9.69
2.194887,10.66
2.295414,10.66
2.396838,10.66
2.497228,9.69
2.597751,9.69
2.698249,9.69
2.798962,9.69
2.899717,9.69
3.000410,9.69
3.100816,9.69
3.201714,9.69
3.302551,9.69
3.403212,9.69
3.503497,9.69
3.604641,9.69
3.706160,9.69
3.806557,9.69
3.907760,9.69
4.008941,9.69
4.109388,9.69
4.210003,9.69
4.311031,9.69
4.412758,9.69
4.513966,9.69
4.615243,9.69
4.715799,9.69
4.816191,9.69
4.916684,9.69
5.017866,9.69
5.118514,10.66
5.219989,9.69
5.321231,9.69
5.421374,9.69
5.521737,9.69
5.622944,9.69
5.724591,9.69
5.829232,9.69
5.929267,10.66
6.029922,10.66
6.130347,9.69
6.230655,10.66
6.332523,10.66
6.433773,9.69
6.534935,9.69
6.636044,9.69
6.736138,9.69
6.837119,9.69
6.938316,9.69
7.038387,9.69
7.138516,9.69
7.239402,9.69
7.339737,9.69
7.441173,9.69
7.541895,9.69
7.643004,9.69
7.743915,9.69
7.844423,9.69
7.944984,10.66
8.046009,10.66
8.146834,10.66
8.247917,10.66
8.349293,9.69
8.451181,9.69
8.551507,9.69
8.653037,10.66
8.755252,10.66
8.855790,9.69
8.957003,9.69
9.059289,9.69
9.159503,9.69
9.260849,10.66
9.362819,10.66
9.464488,9.69
9.566021,9.69
9.667530,9.69
9.770358,9.69
9.871430,9.69
9.973723,9.69
10.075420,9.69
10.177347,9.69
10.278466,9.69
10.379890,9.69
10.482166,9.69
10.583195,9.69
10.685234,9.69
10.787025,9.69
10.891789,10.66
10.994330,10.66
11.094532,9.69
11.197705,10.66
11.299122,10.66
11.399531,9.69
11.500866,9.69
11.601961,9.69
11.703104,10.66
11.803068,9.69
11.903889,9.69
12.005539,9.69
12.106571,10.66
12.208315,10.66
12.309077,10.66
12.410598,9.69
12.511929,9.69
12.613753,9.69
12.715618,9.69
12.818475,9.69
12.919733,9.69
13.021226,9.69
13.122101,9.69
13.222619,9.69
13.324036,9.69
13.424698,9.69
13.526518,9.69
13.628119,9.69
13.730008,10.66
13.830779,10.66
13.932595,9.69
14.034016,9.69
14.134758,9.69
14.235667,9.69
14.336778,9.69
14.438137,9.69
14.539591,9.69
14.649405,10.66
14.751003,10.66
14.853114,9.69
14.954039,9.69
15.055026,9.69
15.155347,10.66
15.258770,10.66
15.360597,10.66
15.462183,9.69
15.562910,9.69
15.663697,9.69
15.765001,10.66
15.866235,10.66
15.967056,10.66
16.068027,9.69
16.170920,9.69
16.271594,9.69
16.373021,10.66
16.474223,10.66
16.574548,10.66
16.676340,10.66
16.776980,10.66
16.877795,9.69
16.979393,9.69
17.079815,10.66
17.180591,9.69
17.281960,9.69
17.383834,9.69
17.484239,10.66
17.586227,10.66
17.687649,10.66
17.790190,10.66
17.891775,10.66
17.992811,10.66
18.095096,10.66
18.197006,10.66
18.297968,9.69
18.401248,10.66
18.502897,10.66
18.604232,10.66
18.704210,9.69
18.806305,9.69
18.909387,9.69
19.010702,10.66
19.113055,10.66
19.215375,10.66
19.315854,10.66
19.418171,10.66
19.519464,9.69
19.621030,10.66
19.723321,10.66
19.825035,10.66
19.927304,10.66
20.027875,10.66
20.129742,10.66
20.231410,10.66
20.333234,10.66
20.434078,10.66
20.534595,10.66
20.635900,9.69
20.737286,9.69
20.837555,10.66
20.938984,9.69
21.039112,9.69
21.139914,10.66
21.241087,10.66
21.342274,10.66
21.443139,10.66
21.550377,9.69
21.650967,9.69
21.751929,10.66
21.851696,9.69
21.953254,9.69
22.054274,9.69
22.155250,10.66
22.256326,10.66
22.356693,10.66
22.458164,10.66
22.559359,10.66
22.660568,10.66
22.761419,9.69
22.863539,9.69
22.964559,9.69
23.066424,9.69
23.168364,9.69
23.268447,9.69
23.370162,10.66
23.470632,10.66
23.571671,9.69
23.672670,10.66
23.774655,10.66
23.876362,10.66
23.977519,9.69
24.078323,10.66
24.178656,10.66
24.279806,9.69
24.380906,9.69
24.482150,9.69
24.582110,10.66
24.682629,9.69
24.783942,9.69
24.885473,10.66
24.986723,9.69
25.087951,9.69
25.190405,9.69
25.291614,10.66
25.393342,10.66
25.493522,9.69
25.595443,9.69
25.698243,9.69
25.799569,10.66
25.906156,9.69
26.007458,9.69
26.108988,10.66
26.211079,10.66
26.311481,10.66
26.413404,9.69
26.515230,9.69
26.616078,9.69
26.716840,10.66
26.819069,10.66
26.920297,10.66
27.020492,9.69
27.123005,9.69
27.223742,9.69
27.325761,10.66
27.426601,9.69
27.528172,10.66
27.629286,10.66
27.731086,10.66
27.831276,9.69
27.931761,9.69
28.033930,9.69
28.136429,9.69
28.238725,9.69
28.341011,9.69
28.441319,10.66
28.541804,10.66
28.642326,9.69
28.743074,9.69
28.844289,9.69
28.944782,9.69
29.046281,9.69
29.147831,9.69
29.249079,9.69
29.354421,10.66
29.456819,10.66
29.558858,9.69
29.659957,9.69
29.760568,9.69
29.862448,9.69
29.964099,9.69
30.065284,9.69
30.166115,10.66
30.267313,10.66
30.367950,10.66
30.470004,9.69
