time,I
0.029432,22.29
0.130549,22.29
0.231341,22.29
0.333286,22.29
0.434557,22.29
0.535798,22.29
0.635655,21.32
0.736317,21.32
0.837213,21.32
0.939910,21.32
1.042193,21.32
1.144371,22.29
1.245506,22.29
1.346386,22.29
1.448661,22.29
1.553726,21.32
1.654712,21.32
1.756314,21.32
1.857294,22.29
1.960141,22.29
2.063415,22.29
2.166598,22.29
2.267556,22.29
2.369132,22.29
2.470433,22.29
2.572426,22.29
2.675285,22.29
2.777265,22.29
2.879782,22.29
2.982503,22.29
3.085024,22.29
3.187330,22.29
3.289233,22.29
3.391630,22.29
3.492664,22.29
3.593796,22.29
3.694217,22.29
3.799631,21.32
3.904631,21.32
4.008290,22.29
4.110290,22.29
4.212940,22.29
4.313865,21.32
4.414472,22.29
4.514995,22.29
4.615730,22.29
4.716656,22.29
4.818041,22.29
4.919041,22.29
5.020188,22.29
5.122255,22.29
5.223743,22.29
5.324731,22.29
5.432578,21.32
5.534132,21.32
5.635668,22.29
5.738452,22.29
5.840623,22.29
5.941421,21.32
6.042225,22.29
6.144549,22.29
6.247339,22.29
6.348635,22.29
6.449962,22.29
6.550978,22.29
6.652237,22.29
6.753349,22.29
6.856313,22.29
6.957832,22.29
7.059344,22.29
7.161002,22.29
7.262549,22.29
7.364595,22.29
7.466125,22.29
7.567681,22.29
7.669333,22.29
7.772271,22.29
7.873993,22.29
7.974439,22.29
8.076543,22.29
8.179013,22.29
8.280618,22.29
8.382017,22.29
8.483195,22.29
8.585628,22.29
8.688108,22.29
8.790250,22.29
8.892480,22.29
8.993756,22.29
9.094942,22.29
9.196521,22.29
9.298122,22.29
9.400600,22.29
9.501786,22.29
9.603198,22.29
9.703886,22.29
9.804787,22.29
9.906620,22.29
10.007408,22.29
10.110014,22.29
10.212119,22.29
10.313766,22.29
10.416414,22.29
10.518101,22.29
10.620737,22.29
10.722937,22.29
10.823874,22.29
10.924571,22.29
11.026567,22.29
11.127852,22.29
11.228778,22.29
11.331136,22.29
11.434231,22.29
11.535258,22.29
11.638814,22.29
11.741172,22.29
11.843278,22.29
11.944850,22.29
12.047152,22.29
12.150175,22.29
12.252484,22.29
12.353348,22.29
12.455183,22.29
12.557071,22.29
12.660413,22.29
12.761154,22.29
12.863888,22.29
12.964985,22.29
13.067131,22.29
13.168667,22.29
13.270779,22.29
13.372384,22.29
13.473821,22.29
13.574636,22.29
13.675733,22.29
13.777636,22.29
13.879130,22.29
13.980158,22.29
14.081771,22.29
14.182428,22.29
14.285381,22.29
14.387983,22.29
14.488963,22.29
14.590024,22.29
14.691643,22.29
14.792598,22.29
14.894730,22.29
14.995774,22.29
15.096495,22.29
15.199441,22.29
15.302475,22.29
15.403566,22.29
15.506602,22.29
15.608137,22.29
15.711115,22.29
15.813076,22.29
15.913793,22.29
16.015602,22.29
16.118166,22.29
16.220090,22.29
16.321265,22.29
16.423002,22.29
16.523571,21.32
16.625150,21.32
16.726300,22.29
16.827191,22.29
16.929226,22.29
17.031433,22.29
17.132614,22.29
17.234670,22.29
17.336463,22.29
17.438559,22.29
17.540258,22.29
17.642302,22.29
17.743899,22.29
17.844894,22.29
17.945909,22.29
18.056307,21.32
18.159169,21.32
18.261253,22.29
